comment_message,class
@movistar_es ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES ESTAFADORES.....,1
Necesito algo que me haga s\9Cper feliz y no se que es estoy c\97mo estancado,7
@virginmobilemx perdi mi sim y quiero otro pero aun tengo saldo en el anterior. Lo puedo pasar o como le hago?,4
@Frank_veidertec ...El tramite de portabilidad es muy sencillo y lo puedes realizar por este medio sin costo. Te e https://t.co/cMKtC2YyJY,5
@luisjcallejas  Hey! En Telcel te brindamos la atencion oportuna que requieres,5
"Otro sue\96o mas bebito, e estoy super orgullosa de ti y feliz llore cuando te vi caminando por esa pasarela TE AMOOO @ElJuanpaZurita pic.twitter.com/nQprtymaJi",7
aqui apesta,2
Voy a ver a Accept y Sabaton el s\87bado estoy s\9Cper feliz lo juro,7
@Telcel no entran ni salen llamadas en mi celular. Aunque los datos funcionan muy bien. Ya reinicie mi telefono varias veces.,2
@koushiken gracias babe... estoy super feliz de que haya venido a casa sobs,7
La app mi Telcel  de @Telcel \C1 es una reverenda mierda !,1
@MANOLO_MR https://t.co/tPlhQq6Z5N Me regalas un DM? Conoce nuestras promociones de portabilidad. GL https://t.co/DV9wcBWSxl,4
colombia,5
"@arianna_jato \C1S\92!, estoy super feliz , me agrada ver o conversar con personas que han decidido dar este paso, Se siente muy bien \C0No?",7
@Karbarlow @julate kolbi 4g bien,4
"- Amiga, estoy muy contenta!!! SUPER FELIZ !! - Wooow que bueno. Contame boluda! - Volv\92 Con el Javi... - pic.twitter.com/jQ6gTQcgLz",7
no me gusta que maltraten,3
@Telcel Senores de Telcel,4
me caes bien,6
@ATTMx Hay algun problema con la red en estos momentos? No me deja llamar a numeros que no sean ATT me manda mensaje de red ocupada.,3
"Estoy s\9Cper feliz y s\9Cper orgullosa ayyy el bebito de nuestra Any , que ganas de una foto #BienvenidoBeb\8EManuel",7
"@ElJuanpaZurita buenos d\92ass,te quiero desear mucha suerte en la pasarela,me siento muy orgullosa de ti,te amo, estoy s\9Cper feliz por ti",7
Estoy super feliz por quedarme en el bungalow pero tengo re miedo tambi\8En pq voy a estar soliiita,7
furioso,1
@movistar_F1 el cazador cazado,4
RT @teamx6tence: #Partido #LOL\n19.00hr\nSemifinales 2 Clasificatorio 2 Division\nRival: @Movistar_Riders \nBO3\nStream: https://t.co/1R3AYHjk,4
@IFT_MX entonces porque @telcel argumenta que Uds turnen publicada la base de datos Yquem es publica para que la descarguen y llamen,2
Ya estamos en vivo,4
@checozapopan instante https://t.co/tPlhQq6Z5N No lo dudes mas permitenos brindarte la atencion y servicio que mere https://t.co/aPtHSv0xuE,5
@movistar_es ofrece servicios y a la hora de activarlos  te obligan a dar de alta otra linea! Tengo la grabacion de todo. Que estafa!,2
